20,24200
21,24200
22,24200
23,24200
24,24200
25,24200
26,24200
27,24200
28,24200
29,24200
30,24200
31,24200
32,24200
33,24200
34,24200
35,24200
36,24200
37,24200
38,24200
39,24200
40,24200
41,24200
42,24200
43,24200
44,24200
45,24200
46,24200
47,24200
48,24200
49,24200
50,24200
51,24200
52,24200
53,24200
54,24200
55,24200
56,24200
57,24200
58,24200
59,24200
60,24200
61,24200
62,24200
63,24200
64,24200
65,24200
66,24200
67,24200
68,24200
69,24200
70,24200
71,24200
72,24200
73,24200
74,24200
75,24200
76,24200
77,24200
78,24200
79,24200
80,24200
81,24200
82,24200
83,24200
84,24200
85,24200
86,24200
87,24200
88,24200
89,24200
90,24200
91,24200
92,24200
93,24200
94,24200
95,24200
96,24200
97,24200
98,24200
99,24200
100,24200
101,24517
102,25465
103,27034
104,29206
105,31957
106,35258
107,39072
108,43357
109,48067
110,53150
111,58550
112,64208
113,70062
114,76048
115,82100
116,88152
117,94138
118,99992
119,1.06E+05
120,1.11E+05
121,1.16E+05
122,1.21E+05
123,1.25E+05
124,1.29E+05
125,1.32E+05
126,1.35E+05
127,1.37E+05
128,1.39E+05
129,1.40E+05
130,1.40E+05
131,1.40E+05
132,1.40E+05
133,1.40E+05
134,1.39E+05
135,1.39E+05
136,1.39E+05
137,1.38E+05
138,1.38E+05
139,1.37E+05
140,1.37E+05
141,1.36E+05
142,1.35E+05
143,1.34E+05
144,1.33E+05
145,1.33E+05
146,1.32E+05
147,1.30E+05
148,1.29E+05
149,1.28E+05
150,1.27E+05
151,1.26E+05
152,1.24E+05
153,1.23E+05
154,1.22E+05
155,1.20E+05
156,1.19E+05
157,1.17E+05
158,1.16E+05
159,1.14E+05
160,1.12E+05
161,1.11E+05
162,1.09E+05
163,1.07E+05
164,1.05E+05
165,1.04E+05
166,1.02E+05
167,1.00E+05
168,98278
169,96450
170,94613
171,92771
172,90924
173,89076
174,87229
175,85387
176,83550
177,81722
178,79906
179,78103
180,76317
181,74549
182,72803
183,71079
184,69382
185,67713
186,66074
187,64468
188,62897
189,61363
190,59868
191,58414
192,57004
193,55638
194,54319
195,53050
196,51830
197,50663
198,49549
199,48491
200,47489
201,46546
202,45661
203,44838
204,44076
205,43376
206,42741
207,42170
208,41664
209,41224
210,40851
211,40545
212,40307
213,40137
214,40034
215,40000
216,40034
217,40137
218,40307
219,40545
220,40851
221,41224
222,41664
223,42170
224,42741
225,43376
226,44076
227,44838
228,45661
229,46546
230,47489
231,48491
232,49549
233,50663
234,51830
235,53050
236,54319
237,55638
238,57004
